,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
173,News18,@CNNnews18,2023-01-09T10:27:42.000Z,"News18
@CNNnews18
·
9 Jan","#Live: #Joshimath: Buildings on Danger Zones Marked with Red Cross in Joshimath; And Other Top Stories
59:58
378 viewers
News18
@CNNnews18
#LIVE | Watch top stories
1
2
1,713",,,1,2,"['https://pbs.twimg.com/card_img/1615528707472457728/ANa8ABCi?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1559788694709473280/j1s3zm5m_mini.jpg']",https://twitter.com/CNNnews18/status/1612395682538868741
174,Supriyo Hazra,@Supriyo_connect,2023-01-09T04:49:24.000Z,"Supriyo Hazra
@Supriyo_connect
·
9 Jan","Principal Secretary to Prime Minister holds high-level review on Joshimath situation https://indiablooms.com/news-details/N/86570/principal-secretary-to-prime-minister-holds-high-level-review-on-joshimath-situation.html… #JoshimathIsSinking #Joshimath #JoshimathSubsidence
indiablooms.com
Principal Secretary to Prime Minister holds high-level review on Joshimath situation | Indiablooms...
New Delhi: Principal Secretary to the Prime Minister, Dr P K Mishra held a high-level review of building damage and land subsidence in Joshimath on Sunday when a decision was taken that a clear...
59",,,,,['https://pbs.twimg.com/card_img/1614934036836921347/Een34ytf?format=jpg&name=small'],https://twitter.com/Supriyo_connect/status/1612310547088953344
175,The Indian Express,@IndianExpress,2023-01-09T04:00:21.000Z,"The Indian Express
@IndianExpress
·
9 Jan","Relief, rescue operations intensified in Joshimath; PMO reviews situation

#Joshimath #JoshimathSubsidence #JoshimathLandslide #JoshimathIsSinking 

Follow Joshimath Sinking News Live Updates here:
indianexpress.com
Joshimath News Highlights: Relief, rescue operations intensified; Prime Minister’s Office reviews...
The number of houses developing cracks in the town rises from 561 to 610. The number of families evacuated to temporary relief centres now stands at 68.
2
5
3,403",,,2,5,['https://pbs.twimg.com/card_img/1614239922348498944/PF93yP9X?format=jpg&name=small'],https://twitter.com/IndianExpress/status/1612298203529089027
176,Madhyamam English,@madhyamam_eng,2023-01-09T04:34:28.000Z,"Madhyamam English
@madhyamam_eng
·
9 Jan","Uttarkashi, Nainital also at risk of sinking like Joshimath, say experts #Uttarkashi #Nainital #Joshimath
english.madhyamam.com
Uttarkashi, Nainital also at risk of sinking like Joshimath, say experts
The land underneath Joshimath is moving in part because of the ‘weak foundation and enhanced toe erosion from rainfall and floods’ in the area
53",,,,,['https://pbs.twimg.com/card_img/1614887138105118720/wf5H8tS-?format=jpg&name=small'],https://twitter.com/madhyamam_eng/status/1612306788950618113
177,DailyO,@DailyO_,2023-01-09T08:05:09.000Z,"DailyO
@DailyO_
·
9 Jan","#Joshimath residents have preferred staying outdoors, battling severe winter after over 600 buildings developed cracks. The latest:
dailyo.in
Joshimath is sinking and people are out of homes in chilling winter: Latest updates
Relief and rescue efforts have been intensified in Uttarakhand's Joshimath after it was declared a landslide and subsidence-hit zone. Prime Minister's Office said that the immediate priority is to...
1
199",,,1,,[],https://twitter.com/DailyO_/status/1612359810992996352
178,Moneycontrol,@moneycontrolcom,2023-01-09T04:24:27.000Z,"Moneycontrol
@moneycontrolcom
·
9 Jan","#MCExplains | Why is Joshimath sinking? And what does it mean for the environmentally fragile region?

Know more from 
@randomcards
 
https://moneycontrol.com/news/environment/explainer-why-joshimath-is-sinking-and-its-larger-environmental-repercussions-9826021.html…

#Joshimath #Uttarakhand #JoshimathCrisis #JoshimathIsSinking
moneycontrol.com
Explainer: Why Joshimath is sinking, and its larger environmental repercussions
Rampant and haphazard development in the region around the hill town has had a devastating impact on its ecology, making the area unstable.
2
3
2,855",👇,,2,3,['https://pbs.twimg.com/card_img/1613118836286398464/1WybLi6T?format=jpg&name=small'],https://twitter.com/moneycontrolcom/status/1612304270602244097
179,IndiaToday,@IndiaToday,2023-01-09T15:29:26.000Z,"IndiaToday
@IndiaToday
·
9 Jan","Why is #Joshimath on the brink of collapse? What can be done to save the sinking town? Confrontation between TN Govt. & Guv. has only intensified, What next? Why is it Brazil's parliament found itself under siege? #NewsToday 
@sardesairajdeep
 #ITLiveStream
IndiaToday
@IndiaToday
•Why is #Joshimath on the brink of collapse? What can be done to save the sinking town? •Confrontation between TN Govt. & Guv. has only intensified, What next? •Why is it Brazil's parliament found itself under siege? #NewsToday @sardesairajdeep #ITLiveStr
1
2
6
3,248",,1,2,6,"['https://pbs.twimg.com/card_img/1615598210315358208/vpQyP01t?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1395253672678809601/s-kiJ9xn_mini.png']",https://twitter.com/IndiaToday/status/1612471616327536645
180,Purecreative,@Purecreative,2023-01-09T05:58:00.000Z,"Purecreative
@Purecreative
·
9 Jan","Joshimath dilapidated houses will be divided into 3 zones.

#BreakingNews #LatestNews #SaveJoshimath #Joshimath #Joshimathcrisis #JoshimathIsSinking 

For complete news please click on below link:-
purecreative.xyz
Joshimath dilapidated houses will be divided into 3 zones
Joshimath dilapidated houses will be divided into 3 zones To save the Joshimath in Uttarakhand, the state government has started work on the...
1
1
71",,,1,1,['https://pbs.twimg.com/card_img/1615501066791190529/1MrgVFGH?format=png&name=small'],https://twitter.com/Purecreative/status/1612327811955707905
181,News18,@CNNnews18,2023-01-09T06:49:59.000Z,"News18
@CNNnews18
·
9 Jan","#LIVE | #AAP vs #BJP protests in Delhi, #ColdWave in North India, #Joshimath sinking and more top stories
News18
@CNNnews18
#LIVE | Watch top stories
5
1,498",,,,5,"['https://pbs.twimg.com/card_img/1615598210185297923/K-cc6ZnI?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1559788694709473280/j1s3zm5m_mini.jpg']",https://twitter.com/CNNnews18/status/1612340893000011778
182,News Bharati,@eNewsBharati,2023-01-09T05:02:37.000Z,"News Bharati
@eNewsBharati
·
9 Jan","PMO monitoring the Joshimath sinking situation closely
#Joshimath #JoshimathIsSinking 
@PMOIndia
newsbharati.com
PMO monitoring the Joshimath sinking situation closely
Central agencies and experts are helping Uttarakhand prepare plans to deal with a sinking Joshimath and the immediate priority is to ensure the safety of the people, the Prime Minister's Office said...
1
74",,,,1,['https://pbs.twimg.com/card_img/1615082146233810957/vicjcHxe?format=jpg&name=small'],https://twitter.com/eNewsBharati/status/1612313873910231042
183,IndicIdeas,@IndicIdeas,2023-01-10T06:39:46.000Z,"IndicIdeas
@IndicIdeas
·
10 Jan","Supreme Court declines urgent hearing on #Joshimath .

The plea was filed by Swami Avimukteshwaranand Saraswati. 

#JoshimathIsSinking 
#IndicIdeas
10
65
101
8,092",,10,65,101,['https://pbs.twimg.com/media/FmF2vb5aYAAMZlj?format=jpg&name=small'],https://twitter.com/IndicIdeas/status/1612700710986199040
184,Aditya Singh ❁,@centristop,2023-01-10T04:24:29.000Z,"Aditya Singh ❁
@centristop
·
10 Jan","Today I was discussing the topic of #Joshimath with my friends, half did not know about the topic, and half were not interested.
#HinduYouths
3
10
31
483",,3,10,31,[],https://twitter.com/centristop/status/1612666663098552320
185,Neelufisherman.,@neelufisherman,2023-01-10T16:09:28.000Z,"Neelufisherman.
@neelufisherman
·
10 Jan","Good night Tweets spare a thought for the people of #Joshimath...Tomorrow maybe we in their place..Gods ways are mysterious. .
2
4
30
730",🙏,2,4,30,[],https://twitter.com/neelufisherman/status/1612844078655492099
186,Neelufisherman.,@neelufisherman,2023-01-10T14:12:43.000Z,"Neelufisherman.
@neelufisherman
·
10 Jan","#Joshimath As per news on Youtube demolition has begun on many buildings .. God help those destitutes lifelong ..ancestors land gone..
3
10
27
630",🙏 🙄,3,10,27,[],https://twitter.com/neelufisherman/status/1612814699711844352
187,Organiser Weekly,@eOrganiser,2023-01-10T06:52:17.000Z,"Organiser Weekly
@eOrganiser
·
10 Jan","Supreme Court declines urgent hearing on #Joshimath subsidence.
4
13
48
2,248",,4,13,48,['https://pbs.twimg.com/media/FmF5myQaMAAJOc9?format=jpg&name=small'],https://twitter.com/eOrganiser/status/1612703859344015362
188,Centre for Financial Accountability,@cfa_ind,2023-01-10T06:33:22.000Z,"Centre for Financial Accountability
@cfa_ind
·
10 Jan","Joshimath Sinking: A Himalayan Blunder?
#Joshimath sinking has exposed cracks in our development model. Beyond rehabilitation & emergency measures, we need robust & effective Environmental & Social Safeguards for Development finance.
A thread
https://heyzine.com/flip-book/9b057028af.html…
1
31
42
8,385",,1,31,42,"['https://pbs.twimg.com/media/FmFziJbagAAvT-F?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmFylZSaYAEpEqI?format=jpg&name=360x360']",https://twitter.com/cfa_ind/status/1612699099199049729
189,Hate Detector,@HateDetectors,2023-01-10T17:11:46.000Z,"Hate Detector
@HateDetectors
·
10 Jan","Two sisters in Joshimath return to their maternal house hearing their childhood house will be demolished.
#Uttarakhand #Joshimath #JoshimathIsSinking #JoshimathSubsidence
10
27
1,527",🔍,,10,27,['https://pbs.twimg.com/ext_tw_video_thumb/1612859698717544450/pu/img/9d2cvLEVWK5eylmE.jpg'],https://twitter.com/HateDetectors/status/1612859760193474560
190,The Summer News,@TheSummerNews2,2023-01-10T12:30:00.000Z,"The Summer News
@TheSummerNews2
·
10 Jan","As of now, 678 buildings have been marked unsafe in Joshimath area. Many have been vacated and the process of evacuation and demolition is still underway.
#thesummernews #Joshimath #Joshimathcrisis
4
3
366",,,4,3,['https://pbs.twimg.com/ext_tw_video_thumb/1612776172760489984/pu/img/6G9_2kl6I7BaCdlE.jpg'],https://twitter.com/TheSummerNews2/status/1612788851092738050
191,The New Indian,@TheNewIndian_in,2023-01-10T13:29:30.000Z,"The New Indian
@TheNewIndian_in
·
10 Jan","#Watch: Yoga Guru Baba Ramdev extends his support to people affected in #Joshimath 

Reports 
@VipinNagi1
6
28
1,308",,,6,28,['https://pbs.twimg.com/ext_tw_video_thumb/1612796724799762434/pu/img/veWXUSHlK-P3YEFQ.jpg'],https://twitter.com/TheNewIndian_in/status/1612803821763284998
192,Lt Col Anil Duhoon (Veteran),@LtColAnilDuhoon,2023-01-10T05:54:47.000Z,"Lt Col Anil Duhoon (Veteran)
@LtColAnilDuhoon
·
10 Jan","#Joshimath is the result of, when scientific opinions/considerations are booted out to boost up religious sentiments to garner votes.
12
33
125
3,840",,12,33,125,[],https://twitter.com/LtColAnilDuhoon/status/1612689390928814080
193,Nikhil Nayan,@nikkhilnayan,2023-01-10T08:12:40.000Z,"Nikhil Nayan
@nikkhilnayan
·
10 Jan","#Joshimath is on the verge of near extinction. Nainital, Mussoorie, Dharchula & several towns in #Uttarakhand could face similar disaster anytime soon. More load than carrying capacity is major reason behind present condition of hills. Its high time 2 wake up #JoshimathIsSinking
2
192",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1612724068616409088/pu/img/X3uKuJ6jTHT6YMs1.jpg'],https://twitter.com/nikkhilnayan/status/1612724090963644417
194,Newsreels India,@NewsreelsIndia,2023-01-10T13:25:58.000Z,"Newsreels India
@NewsreelsIndia
·
10 Jan","In a dramatic turn of events, authorities announced the immediate demolition of damaged hotels and houses following a devastating landslide in the holy town of Joshimath in Uttarakhand.

#demolition #uttarakhand #joshimath #newsreels #newsreelsindia
0:19
36 views
5
98",,,,5,['https://pbs.twimg.com/ext_tw_video_thumb/1612802849792225280/pu/img/qY0ysQI_rSuB2G9g.jpg'],https://twitter.com/NewsreelsIndia/status/1612802933539864582
195,World Times,@WorldTimesWT,2023-01-10T18:05:22.000Z,"World Times
@WorldTimesWT
·
10 Jan","#India will demolish some buildings in a northern Himalayan town near its border with China after evacuating families in the past few days, an official said on Tuesday, as hundreds of homes have developed cracks in an area thronged by pilgrims.

#Joshimath #JoshimathIsSinking
3
5
189",,,3,5,['https://pbs.twimg.com/media/FmITkxKakAIgNqV?format=jpg&name=small'],https://twitter.com/WorldTimesWT/status/1612873246566936577
196,News Core India,@NewsCoreIndia,2023-01-10T08:12:03.000Z,"News Core India
@NewsCoreIndia
·
10 Jan","#Joshimath is on the verge of near extinction. Nainital, Mussoorie, Dharchula & several towns in #Uttarakhand could face similar disaster anytime soon. More load than carrying capacity is major reason behind present condition of hills. Its high time 2 wake up #JoshimathIsSinking
1
107",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1612723910608556032/pu/img/P-NlYuZ4xJ66JSfR.jpg'],https://twitter.com/NewsCoreIndia/status/1612723934331564032
197,Gunjan Pant,@GunjanPant4,2023-01-10T02:22:37.000Z,"Gunjan Pant
@GunjanPant4
·
10 Jan","God save #Joshimath and it's people

Respect the Nature 
1
3
12
801",🙏 🙏,1,3,12,['https://pbs.twimg.com/media/FmE749RaAAAc0ke?format=jpg&name=small'],https://twitter.com/GunjanPant4/status/1612635995568234497
